,station,date,prcp,tobs
107,USC00519397,2010-05-10,0.0,76
108,USC00519397,2010-05-11,0.0,77
109,USC00519397,2010-05-13,0.0,78
110,USC00519397,2010-05-14,0.0,78
111,USC00519397,2010-05-15,0.0,75
112,USC00519397,2010-05-16,0.03,73
113,USC00519397,2010-05-17,0.0,77
114,USC00519397,2010-05-18,0.0,76
115,USC00519397,2010-05-19,0.0,77
116,USC00519397,2010-05-22,0.0,78
117,USC00519397,2010-05-23,0.05,75
118,USC00519397,2010-05-24,0.0,77
119,USC00519397,2010-05-25,0.0,77
120,USC00519397,2010-05-26,0.02,77
121,USC00519397,2010-05-27,0.0,76
122,USC00519397,2010-05-28,0.0,75
123,USC00519397,2010-05-29,0.0,77
124,USC00519397,2010-05-30,0.0,77
125,USC00519397,2010-05-31,0.0,77
126,USC00519397,2010-06-01,0.0,78
127,USC00519397,2010-06-02,0.01,76
128,USC00519397,2010-06-03,0.0,78
129,USC00519397,2010-06-04,0.0,76
130,USC00519397,2010-06-05,0.0,77
131,USC00519397,2010-06-06,0.0,78
132,USC00519397,2010-06-07,0.0,77
133,USC00519397,2010-06-08,0.0,78
134,USC00519397,2010-06-09,0.0,78
135,USC00519397,2010-06-10,0.0,79
136,USC00519397,2010-06-11,0.0,78
137,USC00519397,2010-06-12,0.0,78
138,USC00519397,2010-06-13,0.0,78
139,USC00519397,2010-06-14,0.0,77
140,USC00519397,2010-06-15,0.0,78
141,USC00519397,2010-06-16,0.0,78
142,USC00519397,2010-06-17,0.0,77
143,USC00519397,2010-06-18,0.0,77
144,USC00519397,2010-06-19,0.0,82
145,USC00519397,2010-06-20,0.0,78
146,USC00519397,2010-06-21,0.0,78
147,USC00519397,2010-06-22,0.0,78
148,USC00519397,2010-06-23,0.0,78
149,USC00519397,2010-06-24,0.0,78
150,USC00519397,2010-06-25,0.0,77
151,USC00519397,2010-06-26,0.02,76
152,USC00519397,2010-06-27,0.0,78
153,USC00519397,2010-06-28,0.0,78
154,USC00519397,2010-06-29,0.0,78
155,USC00519397,2010-06-30,0.0,78
156,USC00519397,2010-07-01,0.01,75
157,USC00519397,2010-07-02,0.05,77
158,USC00519397,2010-07-03,0.09,77
159,USC00519397,2010-07-04,0.05,78
160,USC00519397,2010-07-05,0.06,78
161,USC00519397,2010-07-06,0.08,76
162,USC00519397,2010-07-07,0.08,74
163,USC00519397,2010-07-08,0.03,76
164,USC00519397,2010-07-09,0.06,74
165,USC00519397,2010-07-10,0.09,76
166,USC00519397,2010-07-11,0.0,78
167,USC00519397,2010-07-12,0.0,77
168,USC00519397,2010-07-13,0.0,80
169,USC00519397,2010-07-17,0.02,76
170,USC00519397,2010-07-18,0.0,77
171,USC00519397,2010-07-19,0.04,77
172,USC00519397,2010-07-21,0.0,80
173,USC00519397,2010-07-22,0.0,78
174,USC00519397,2010-07-24,0.0,80
175,USC00519397,2010-07-25,0.0,79
176,USC00519397,2010-07-26,0.0,78
177,USC00519397,2010-07-27,0.0,79
178,USC00519397,2010-07-28,0.0,78
179,USC00519397,2010-07-29,0.0,79
180,USC00519397,2010-07-30,0.0,78
181,USC00519397,2010-07-31,0.02,77
182,USC00519397,2010-08-01,0.04,77
183,USC00519397,2010-08-02,0.01,76
184,USC00519397,2010-08-03,0.02,77
185,USC00519397,2010-08-04,0.07,77
186,USC00519397,2010-08-05,0.08,75
187,USC00519397,2010-08-06,0.03,75
188,USC00519397,2010-08-07,0.0,80
189,USC00519397,2010-08-08,0.0,77
190,USC00519397,2010-08-09,0.0,78
191,USC00519397,2010-08-10,0.0,78
192,USC00519397,2010-08-11,0.0,77
193,USC00519397,2010-08-12,0.0,76
194,USC00519397,2010-08-13,0.0,78
195,USC00519397,2010-08-14,0.0,78
196,USC00519397,2010-08-15,0.01,76
197,USC00519397,2010-08-16,0.0,76
198,USC00519397,2010-08-17,0.05,74
199,USC00519397,2010-08-18,0.0,77
200,USC00519397,2010-08-19,0.0,79
201,USC00519397,2010-08-20,0.0,79
202,USC00519397,2010-08-21,0.0,79
203,USC00519397,2010-08-22,0.0,75
204,USC00519397,2010-08-23,0.01,87
205,USC00519397,2010-08-24,0.0,78
206,USC00519397,2010-08-25,0.04,76
207,USC00519397,2010-08-26,0.03,78
208,USC00519397,2010-08-27,0.0,78
209,USC00519397,2010-08-28,0.04,79
210,USC00519397,2010-08-29,0.0,78
211,USC00519397,2010-08-30,0.0,78
212,USC00519397,2010-08-31,0.0,80
213,USC00519397,2010-09-01,0.0,77
214,USC00519397,2010-09-02,0.02,76
215,USC00519397,2010-09-03,0.04,78
216,USC00519397,2010-09-04,0.01,77
217,USC00519397,2010-09-05,0.0,77
218,USC00519397,2010-09-06,0.0,77
219,USC00519397,2010-09-07,0.06,76
220,USC00519397,2010-09-08,0.0,78
221,USC00519397,2010-09-09,0.0,78
222,USC00519397,2010-09-10,0.0,78
223,USC00519397,2010-09-11,0.05,78
224,USC00519397,2010-09-12,0.0,74
225,USC00519397,2010-09-13,0.0,78
226,USC00519397,2010-09-14,0.0,79
227,USC00519397,2010-09-15,0.0,77
228,USC00519397,2010-09-16,0.0,79
229,USC00519397,2010-09-17,0.0,78
230,USC00519397,2010-09-19,0.0,78
231,USC00519397,2010-09-20,0.0,78
232,USC00519397,2010-09-21,0.0,79
233,USC00519397,2010-09-22,0.04,76
234,USC00519397,2010-09-23,0.0,78
235,USC00519397,2010-09-24,0.0,78
236,USC00519397,2010-09-25,0.0,79
237,USC00519397,2010-09-26,0.0,74
238,USC00519397,2010-09-27,0.0,75
239,USC00519397,2010-09-28,0.0,75
240,USC00519397,2010-09-29,0.0,78
241,USC00519397,2010-09-30,0.57,73
242,USC00519397,2010-10-01,0.31,78
243,USC00519397,2010-10-02,0.03,78
244,USC00519397,2010-10-03,0.0,78
245,USC00519397,2010-10-04,0.06,78
246,USC00519397,2010-10-05,0.0,80
247,USC00519397,2010-10-06,0.0,79
248,USC00519397,2010-10-07,0.0,79
249,USC00519397,2010-10-08,0.0,78
250,USC00519397,2010-10-09,0.0,78
251,USC00519397,2010-10-10,0.0,78
252,USC00519397,2010-10-11,0.0,77
253,USC00519397,2010-10-12,0.0,79
254,USC00519397,2010-10-13,0.0,78
255,USC00519397,2010-10-15,0.0,78
256,USC00519397,2010-10-16,0.0,77
257,USC00519397,2010-10-17,0.0,76
258,USC00519397,2010-10-18,0.0,76
259,USC00519397,2010-10-19,0.07,72
260,USC00519397,2010-10-20,0.0,74
261,USC00519397,2010-10-21,0.0,80
262,USC00519397,2010-10-22,0.0,77
263,USC00519397,2010-10-23,0.0,75
264,USC00519397,2010-10-24,0.0,78
265,USC00519397,2010-10-25,0.0,78
266,USC00519397,2010-10-26,0.07,76
267,USC00519397,2010-10-27,0.05,79
268,USC00519397,2010-10-28,0.06,78
269,USC00519397,2010-10-29,0.03,78
270,USC00519397,2010-10-30,0.02,77
271,USC00519397,2010-10-31,0.0,76
272,USC00519397,2010-11-01,0.01,75
273,USC00519397,2010-11-02,0.01,73
274,USC00519397,2010-11-05,0.0,77
275,USC00519397,2010-11-06,0.0,76
276,USC00519397,2010-11-07,0.0,77
277,USC00519397,2010-11-08,0.0,76
278,USC00519397,2010-11-09,0.0,73
279,USC00519397,2010-11-10,0.23,73
280,USC00519397,2010-11-11,0.0,77
281,USC00519397,2010-11-12,0.0,77
282,USC00519397,2010-11-13,0.0,76
283,USC00519397,2010-11-16,0.0,73
284,USC00519397,2010-11-17,0.0,73
285,USC00519397,2010-11-20,0.03,69
286,USC00519397,2010-11-21,0.0,69
287,USC00519397,2010-11-22,0.0,68
288,USC00519397,2010-11-23,0.0,69
289,USC00519397,2010-11-24,0.0,76
290,USC00519397,2010-11-25,0.0,76
291,USC00519397,2010-11-27,0.0,75
292,USC00519397,2010-11-28,0.0,74
293,USC00519397,2010-11-29,0.0,69
294,USC00519397,2010-11-30,0.0,74
295,USC00519397,2010-12-01,0.04,76
296,USC00519397,2010-12-03,0.0,74
297,USC00519397,2010-12-04,0.0,74
298,USC00519397,2010-12-06,0.0,64
299,USC00519397,2010-12-07,0.0,64
300,USC00519397,2010-12-08,0.0,67
301,USC00519397,2010-12-09,0.0,77
302,USC00519397,2010-12-10,1.58,66
303,USC00519397,2010-12-11,0.77,69
304,USC00519397,2010-12-12,0.0,68
305,USC00519397,2010-12-13,0.0,68
306,USC00519397,2010-12-14,0.0,71
307,USC00519397,2010-12-15,0.0,74
308,USC00519397,2010-12-16,0.0,67
309,USC00519397,2010-12-17,0.0,66
310,USC00519397,2010-12-18,0.0,69
311,USC00519397,2010-12-19,1.4,71
312,USC00519397,2010-12-23,0.0,70
313,USC00519397,2010-12-24,0.0,70
314,USC00519397,2010-12-27,0.13,74
315,USC00519397,2010-12-28,0.55,71
316,USC00519397,2010-12-29,0.06,75
317,USC00519397,2010-12-30,0.01,75
318,USC00519397,2010-12-31,0.0,72
319,USC00519397,2011-01-01,0.0,69
320,USC00519397,2011-01-02,0.0,72
321,USC00519397,2011-01-03,0.0,74
322,USC00519397,2011-01-04,0.0,73
323,USC00519397,2011-01-05,0.0,64
324,USC00519397,2011-01-06,0.01,65
325,USC00519397,2011-01-07,0.0,68
326,USC00519397,2011-01-08,0.0,62
327,USC00519397,2011-01-09,0.0,58
328,USC00519397,2011-01-10,0.0,73
329,USC00519397,2011-01-11,0.09,60
330,USC00519397,2011-01-14,0.03,76
331,USC00519397,2011-01-15,0.0,68
332,USC00519397,2011-01-16,0.0,66
333,USC00519397,2011-01-17,0.0,64
334,USC00519397,2011-01-18,0.0,64
335,USC00519397,2011-01-19,0.03,64
336,USC00519397,2011-01-20,0.0,76
337,USC00519397,2011-01-21,0.0,75
338,USC00519397,2011-01-22,0.0,68
339,USC00519397,2011-01-23,0.0,68
340,USC00519397,2011-01-24,0.0,72
341,USC00519397,2011-01-25,0.0,63
342,USC00519397,2011-01-27,0.0,68
343,USC00519397,2011-01-28,0.0,75
344,USC00519397,2011-01-29,0.0,65
345,USC00519397,2011-01-30,0.0,64
346,USC00519397,2011-01-31,0.22,68
347,USC00519397,2011-02-01,0.0,68
348,USC00519397,2011-02-02,0.0,66
349,USC00519397,2011-02-03,0.0,67
350,USC00519397,2011-02-04,0.0,64
351,USC00519397,2011-02-05,0.0,65
352,USC00519397,2011-02-06,0.0,75
353,USC00519397,2011-02-07,1.29,68
354,USC00519397,2011-02-08,1.3,71
355,USC00519397,2011-02-09,0.0,71
356,USC00519397,2011-02-10,0.29,71
357,USC00519397,2011-02-13,0.0,68
358,USC00519397,2011-02-14,0.04,72
359,USC00519397,2011-02-15,0.05,70
360,USC00519397,2011-02-16,0.0,74
361,USC00519397,2011-02-19,0.0,67
362,USC00519397,2011-02-20,1.72,71
363,USC00519397,2011-02-21,0.0,71
364,USC00519397,2011-02-22,0.82,71
365,USC00519397,2011-02-23,0.0,74
366,USC00519397,2011-02-24,0.2,68
367,USC00519397,2011-02-25,0.0,71
368,USC00519397,2011-02-26,0.0,69
369,USC00519397,2011-02-27,0.0,69
370,USC00519397,2011-02-28,0.0,68
371,USC00519397,2011-03-01,0.1,68
372,USC00519397,2011-03-02,0.0,72
373,USC00519397,2011-03-03,0.0,74
374,USC00519397,2011-03-04,0.88,72
375,USC00519397,2011-03-05,0.4,69
376,USC00519397,2011-03-06,0.03,70
377,USC00519397,2011-03-09,0.2,71
378,USC00519397,2011-03-10,0.15,71
379,USC00519397,2011-03-12,0.0,72
380,USC00519397,2011-03-13,0.0,70
381,USC00519397,2011-03-14,0.0,71
382,USC00519397,2011-03-16,0.0,76
383,USC00519397,2011-03-17,0.01,73
384,USC00519397,2011-03-18,0.05,74
385,USC00519397,2011-03-19,0.01,74
386,USC00519397,2011-03-20,0.02,74
387,USC00519397,2011-03-21,0.0,74
388,USC00519397,2011-03-22,0.02,74
389,USC00519397,2011-03-23,0.0,74
390,USC00519397,2011-03-24,0.06,73
391,USC00519397,2011-03-25,0.0,74
392,USC00519397,2011-03-26,0.0,74
393,USC00519397,2011-03-27,0.0,73
394,USC00519397,2011-03-28,0.04,74
395,USC00519397,2011-03-30,0.0,75
396,USC00519397,2011-03-31,0.0,74
397,USC00519397,2011-04-01,0.05,74
398,USC00519397,2011-04-02,0.04,75
399,USC00519397,2011-04-03,0.0,74
400,USC00519397,2011-04-04,0.0,75
401,USC00519397,2011-04-05,0.0,74
402,USC00519397,2011-04-06,0.09,70
403,USC00519397,2011-04-07,1.11,70
404,USC00519397,2011-04-08,0.36,70
405,USC00519397,2011-04-09,0.02,76
406,USC00519397,2011-04-10,0.0,76
407,USC00519397,2011-04-11,0.0,76
408,USC00519397,2011-04-12,0.0,76
409,USC00519397,2011-04-13,0.0,70
410,USC00519397,2011-04-15,0.0,77
411,USC00519397,2011-04-16,0.12,74
412,USC00519397,2011-04-17,0.0,73
413,USC00519397,2011-04-18,0.0,76
414,USC00519397,2011-04-19,0.0,76
415,USC00519397,2011-04-20,0.0,74
416,USC00519397,2011-04-21,0.0,77
417,USC00519397,2011-04-22,0.0,77
418,USC00519397,2011-04-23,0.0,78
419,USC00519397,2011-04-24,0.0,77
420,USC00519397,2011-04-25,0.0,77
421,USC00519397,2011-04-26,0.0,76
422,USC00519397,2011-04-27,0.0,77
423,USC00519397,2011-04-29,0.0,78
424,USC00519397,2011-04-30,0.04,76
425,USC00519397,2011-05-01,0.0,77
426,USC00519397,2011-05-02,0.0,77
427,USC00519397,2011-05-03,2.1,70
428,USC00519397,2011-05-04,0.02,76
429,USC00519397,2011-05-05,0.12,74
430,USC00519397,2011-05-06,0.12,72
431,USC00519397,2011-05-07,0.55,74
432,USC00519397,2011-05-08,0.55,73
433,USC00519397,2011-05-09,0.02,75
434,USC00519397,2011-05-10,0.11,75
435,USC00519397,2011-05-11,0.1,75
436,USC00519397,2011-05-12,0.0,76
437,USC00519397,2011-05-13,0.0,77
438,USC00519397,2011-05-14,0.0,78
439,USC00519397,2011-05-15,0.0,77
440,USC00519397,2011-05-16,0.0,78
441,USC00519397,2011-05-17,0.0,77
442,USC00519397,2011-05-18,0.0,76
443,USC00519397,2011-05-19,0.01,77
444,USC00519397,2011-05-20,0.0,79
445,USC00519397,2011-05-21,0.0,77
446,USC00519397,2011-05-22,0.06,74
447,USC00519397,2011-05-23,0.02,78
448,USC00519397,2011-05-24,0.0,77
449,USC00519397,2011-05-25,0.0,79
450,USC00519397,2011-05-26,0.0,78
451,USC00519397,2011-05-27,0.0,78
452,USC00519397,2011-05-28,0.0,77
453,USC00519397,2011-05-29,0.0,78
454,USC00519397,2011-05-30,0.0,78
455,USC00519397,2011-05-31,0.05,73
456,USC00519397,2011-06-01,0.07,77
457,USC00519397,2011-06-02,0.0,78
458,USC00519397,2011-06-03,0.56,73
459,USC00519397,2011-06-04,0.89,70
460,USC00519397,2011-06-05,0.0,76
461,USC00519397,2011-06-06,0.0,77
462,USC00519397,2011-06-07,0.0,77
463,USC00519397,2011-06-08,0.03,77
464,USC00519397,2011-06-09,0.01,77
465,USC00519397,2011-06-10,0.0,78
466,USC00519397,2011-06-11,0.0,77
467,USC00519397,2011-06-12,0.0,77
468,USC00519397,2011-06-13,0.0,78
469,USC00519397,2011-06-14,0.0,78
470,USC00519397,2011-06-15,0.0,77
471,USC00519397,2011-06-17,0.0,78
472,USC00519397,2011-06-18,0.0,78
473,USC00519397,2011-06-19,0.05,75
474,USC00519397,2011-06-20,0.06,76
475,USC00519397,2011-06-21,0.07,76
476,USC00519397,2011-06-25,0.0,78
477,USC00519397,2011-06-26,0.0,76
478,USC00519397,2011-06-27,0.01,77
479,USC00519397,2011-06-28,0.01,75
480,USC00519397,2011-06-29,0.0,77
481,USC00519397,2011-07-01,0.05,77
482,USC00519397,2011-07-02,0.02,78
483,USC00519397,2011-07-03,0.0,78
484,USC00519397,2011-07-04,0.0,78
485,USC00519397,2011-07-05,0.01,78
486,USC00519397,2011-07-06,0.01,76
487,USC00519397,2011-07-07,0.01,76
488,USC00519397,2011-07-08,0.0,77
489,USC00519397,2011-07-09,0.03,77
490,USC00519397,2011-07-10,0.02,77
491,USC00519397,2011-07-11,0.0,78
492,USC00519397,2011-07-12,0.0,77
493,USC00519397,2011-07-13,0.15,73
494,USC00519397,2011-07-14,0.0,77
495,USC00519397,2011-07-15,0.0,79
496,USC00519397,2011-07-16,0.0,78
497,USC00519397,2011-07-17,0.04,77
498,USC00519397,2011-07-18,0.0,78
499,USC00519397,2011-07-19,0.0,78
500,USC00519397,2011-07-20,0.0,76
501,USC00519397,2011-07-21,0.03,77
502,USC00519397,2011-07-23,0.0,78
503,USC00519397,2011-07-24,0.0,77
504,USC00519397,2011-07-25,0.0,78
505,USC00519397,2011-07-26,0.0,78
506,USC00519397,2011-07-27,0.04,77
507,USC00519397,2011-07-28,0.09,77
508,USC00519397,2011-07-29,0.04,78
509,USC00519397,2011-07-30,0.12,80
510,USC00519397,2011-07-31,0.0,77
511,USC00519397,2011-08-01,0.0,78
512,USC00519397,2011-08-02,0.0,77
513,USC00519397,2011-08-03,0.0,78
514,USC00519397,2011-08-04,0.02,76
515,USC00519397,2011-08-05,0.03,78
516,USC00519397,2011-08-06,0.01,77
517,USC00519397,2011-08-07,0.0,78
518,USC00519397,2011-08-08,0.0,78
519,USC00519397,2011-08-09,0.0,79
520,USC00519397,2011-08-11,0.0,78
521,USC00519397,2011-08-12,0.0,78
522,USC00519397,2011-08-13,0.0,76
523,USC00519397,2011-08-14,0.0,78
524,USC00519397,2011-08-15,0.0,77
525,USC00519397,2011-08-16,0.0,79
526,USC00519397,2011-08-17,0.02,77
527,USC00519397,2011-08-18,0.0,77
528,USC00519397,2011-08-19,0.0,78
529,USC00519397,2011-08-20,0.07,77
530,USC00519397,2011-08-21,0.0,77
531,USC00519397,2011-08-22,0.0,78
532,USC00519397,2011-08-23,0.0,78
533,USC00519397,2011-08-24,0.0,79
534,USC00519397,2011-08-25,0.0,78
535,USC00519397,2011-08-26,0.0,78
536,USC00519397,2011-08-27,0.0,79
537,USC00519397,2011-08-28,0.05,76
538,USC00519397,2011-08-29,0.1,76
539,USC00519397,2011-08-30,0.02,78
540,USC00519397,2011-08-31,0.0,79
541,USC00519397,2011-09-02,0.0,79
542,USC00519397,2011-09-03,0.0,78
543,USC00519397,2011-09-04,0.03,77
544,USC00519397,2011-09-05,0.0,77
545,USC00519397,2011-09-06,0.0,73
546,USC00519397,2011-09-07,0.0,73
547,USC00519397,2011-09-08,0.0,77
548,USC00519397,2011-09-09,0.0,79
549,USC00519397,2011-09-10,0.0,77
550,USC00519397,2011-09-11,0.0,77
551,USC00519397,2011-09-12,0.0,85
552,USC00519397,2011-09-13,0.01,77
553,USC00519397,2011-09-14,0.0,76
554,USC00519397,2011-09-15,0.0,79
555,USC00519397,2011-09-16,0.0,79
556,USC00519397,2011-09-17,0.02,77
557,USC00519397,2011-09-18,0.04,77
558,USC00519397,2011-09-19,0.0,82
559,USC00519397,2011-09-20,0.0,80
560,USC00519397,2011-09-21,0.0,79
561,USC00519397,2011-09-22,0.03,78
562,USC00519397,2011-09-23,0.0,76
563,USC00519397,2011-09-24,0.0,77
564,USC00519397,2011-09-25,0.0,74
565,USC00519397,2011-09-26,0.0,77
566,USC00519397,2011-09-27,0.0,78
567,USC00519397,2011-09-28,0.0,77
568,USC00519397,2011-10-01,0.0,78
569,USC00519397,2011-10-02,0.0,78
570,USC00519397,2011-10-03,0.0,80
571,USC00519397,2011-10-06,0.0,75
572,USC00519397,2011-10-07,0.03,78
573,USC00519397,2011-10-08,0.0,79
574,USC00519397,2011-10-09,0.0,78
575,USC00519397,2011-10-10,0.02,77
576,USC00519397,2011-10-11,0.03,78
577,USC00519397,2011-10-12,0.0,77
578,USC00519397,2011-10-13,0.0,77
579,USC00519397,2011-10-14,0.03,78
580,USC00519397,2011-10-15,0.02,77
581,USC00519397,2011-10-16,0.0,76
582,USC00519397,2011-10-17,0.02,77
583,USC00519397,2011-10-18,0.01,76
584,USC00519397,2011-10-19,0.0,74
585,USC00519397,2011-10-20,0.0,78
586,USC00519397,2011-10-21,0.0,76
587,USC00519397,2011-10-22,0.0,77
588,USC00519397,2011-10-23,0.0,75
589,USC00519397,2011-10-24,0.14,74
590,USC00519397,2011-10-25,1.6,77
591,USC00519397,2011-10-26,0.01,76
592,USC00519397,2011-10-27,0.0,77
593,USC00519397,2011-10-28,0.05,73
594,USC00519397,2011-10-29,0.01,76
595,USC00519397,2011-10-30,0.0,75
596,USC00519397,2011-10-31,0.03,76
597,USC00519397,2011-11-01,0.58,71
598,USC00519397,2011-11-02,0.28,77
599,USC00519397,2011-11-03,0.02,77
600,USC00519397,2011-11-04,0.01,75
601,USC00519397,2011-11-05,0.0,76
602,USC00519397,2011-11-06,0.0,77
603,USC00519397,2011-11-07,0.0,78
604,USC00519397,2011-11-08,0.0,76
605,USC00519397,2011-11-09,0.02,76
606,USC00519397,2011-11-10,0.0,76
607,USC00519397,2011-11-11,0.05,74
608,USC00519397,2011-11-12,0.0,75
609,USC00519397,2011-11-13,0.0,76
610,USC00519397,2011-11-14,0.0,73
611,USC00519397,2011-11-15,0.0,71
612,USC00519397,2011-11-16,0.0,75
613,USC00519397,2011-11-17,0.0,76
614,USC00519397,2011-11-18,0.0,78
615,USC00519397,2011-11-19,0.0,76
616,USC00519397,2011-11-20,0.0,75
617,USC00519397,2011-11-21,0.01,76
618,USC00519397,2011-11-22,0.02,73
619,USC00519397,2011-11-23,0.01,75
620,USC00519397,2011-11-24,0.0,73
621,USC00519397,2011-11-25,0.01,70
622,USC00519397,2011-11-26,0.02,75
623,USC00519397,2011-11-27,0.07,73
624,USC00519397,2011-11-28,0.0,72
625,USC00519397,2011-11-29,0.0,72
626,USC00519397,2011-11-30,0.02,66
627,USC00519397,2011-12-01,0.03,69
628,USC00519397,2011-12-02,0.08,68
629,USC00519397,2011-12-03,0.0,73
630,USC00519397,2011-12-04,0.0,74
631,USC00519397,2011-12-05,0.0,73
632,USC00519397,2011-12-06,0.0,73
633,USC00519397,2011-12-07,0.0,73
634,USC00519397,2011-12-08,0.0,73
635,USC00519397,2011-12-09,0.13,71
636,USC00519397,2011-12-10,0.07,73
637,USC00519397,2011-12-11,0.07,73
638,USC00519397,2011-12-12,0.08,77
639,USC00519397,2011-12-13,0.4,72
640,USC00519397,2011-12-14,0.7,71
641,USC00519397,2011-12-15,0.0,73
642,USC00519397,2011-12-16,0.01,70
643,USC00519397,2011-12-17,0.07,73
644,USC00519397,2011-12-18,0.02,69
645,USC00519397,2011-12-19,0.15,74
646,USC00519397,2011-12-20,0.02,72
647,USC00519397,2011-12-21,0.18,71
648,USC00519397,2011-12-22,0.03,72
649,USC00519397,2011-12-23,0.04,72
650,USC00519397,2011-12-24,0.1,70
651,USC00519397,2011-12-25,0.03,73
652,USC00519397,2011-12-26,0.0,73
653,USC00519397,2011-12-27,0.0,72
654,USC00519397,2011-12-28,0.0,73
655,USC00519397,2011-12-29,0.0,73
656,USC00519397,2011-12-30,0.0,72
657,USC00519397,2011-12-31,0.01,63
658,USC00519397,2012-01-01,0.0,63
659,USC00519397,2012-01-02,0.0,66
660,USC00519397,2012-01-03,0.0,66
661,USC00519397,2012-01-04,0.0,74
662,USC00519397,2012-01-06,0.0,71
663,USC00519397,2012-01-07,0.0,65
664,USC00519397,2012-01-08,0.0,61
